UniProtKBID	EntrezGeneID	GeneSymbol	Domain	ProteinFamilies
Q16515	40	ASIC2		Amiloride-sensitive sodium channel (TC 1.A.6) family, ASIC2 subfamily
P78348	41	ASIC1		Amiloride-sensitive sodium channel (TC 1.A.6) family, ASIC1 subfamily
P22303	43	ACES		Type-B carboxylesterase/lipase family
P53396	47	ACLY	ATP-grasp	Succinate/malate CoA ligase beta subunit family; Succinate/malate CoA ligase alpha subunit family
P21399	48	ACOC		Aconitase/IPM isomerase family
P10323	49	ACRO	Peptidase S1	Peptidase S1 family
Q99798	50	ACON		Aconitase/IPM isomerase family
Q15067	51	ACOX1		Acyl-CoA oxidase family
P24666	52	PPAC		Low molecular weight phosphotyrosine protein phosphatase family
P11117	53	PPAL		Histidine acid phosphatase family
P13686	54	PPA5		Metallophosphoesterase superfamily, Purple acid phosphatase family
P15309	55	PPAP		Histidine acid phosphatase family
P68133	58	ACTS		Actin family
P62736	59	ACTA		Actin family
P60709	60	ACTB		Actin family
P68032	70	ACTC		Actin family
P63261	71	ACTG		Actin family
P63267	72	ACTH		Actin family
O43707	81	ACTN4	Calponin-homology (CH) 1;Calponin-homology (CH) 2;EF-hand 1;EF-hand 2	Alpha-actinin family
O96019	86	ACL6A		Actin family
P12814	87	ACTN1	Calponin-homology (CH) 1;Calponin-homology (CH) 2;EF-hand 1;EF-hand 2	Alpha-actinin family
P35609	88	ACTN2	Calponin-homology (CH) 1;Calponin-homology (CH) 2;EF-hand 1;EF-hand 2	Alpha-actinin family
Q08043	89	ACTN3	Calponin-homology (CH) 1;Calponin-homology (CH) 2;EF-hand 1;EF-hand 2	Alpha-actinin family
Q04771	90	ACVR1	GS;Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily
P36896	91	ACV1B	GS;Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily
P27037	92	AVR2A	Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily
Q13705	93	AVR2B	Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily
P37023	94	ACVL1	GS;Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily
Q03154	95	ACY1		Peptidase M20A family
P07311	97	ACYP1	Acylphosphatase-like	Acylphosphatase family
P14621	98	ACYP2	Acylphosphatase-like	Acylphosphatase family
P00813	100	ADA		Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family
P78325	101	ADAM8	Peptidase M12B;Disintegrin;EGF-like	
O14672	102	ADA10	Peptidase M12B;Disintegrin	
P55265	103	DSRAD	DRBM 1;DRBM 2;DRBM 3;A to I editase	
P78563	104	RED1	DRBM 1;DRBM 2;A to I editase	
Q9NS39	105	RED2	DRBM 1;DRBM 2;A to I editase	
Q08828	107	ADCY1		Adenylyl cyclase class-4/guanylyl cyclase family
Q08462	108	ADCY2		Adenylyl cyclase class-4/guanylyl cyclase family
O60266	109	ADCY3		Adenylyl cyclase class-4/guanylyl cyclase family
O95622	111	ADCY5	Guanylate cyclase 1;Guanylate cyclase 2	Adenylyl cyclase class-4/guanylyl cyclase family
O43306	112	ADCY6		Adenylyl cyclase class-4/guanylyl cyclase family
P51828	113	ADCY7	Guanylate cyclase 1;Guanylate cyclase 2	Adenylyl cyclase class-4/guanylyl cyclase family
P40145	114	ADCY8		Adenylyl cyclase class-4/guanylyl cyclase family
O60503	115	ADCY9	Guanylate cyclase 1;Guanylate cyclase 2	Adenylyl cyclase class-4/guanylyl cyclase family
P18509	116	PACA		Glucagon family
P41586	117	PACR		G-protein coupled receptor 2 family
P35611	118	ADDA		Aldolase class II family, Adducin subfamily
P35612	119	ADDB		Aldolase class II family, Adducin subfamily
Q9UEY8	120	ADDG		Aldolase class II family, Adducin subfamily
Q99541	123	PLIN2		Perilipin family
P07327	124	ADH1A		Zinc-containing alcohol dehydrogenase family
P00325	125	ADH1B		Zinc-containing alcohol dehydrogenase family
P00326	126	ADH1G		Zinc-containing alcohol dehydrogenase family
P08319	127	ADH4		Zinc-containing alcohol dehydrogenase family, Class-II subfamily
P11766	128	ADHX		Zinc-containing alcohol dehydrogenase family, Class-III subfamily
P28332	130	ADH6		Zinc-containing alcohol dehydrogenase family, Class-V subfamily
P40394	131	ADH7		Zinc-containing alcohol dehydrogenase family, Class-IV subfamily
P55263	132	ADK		Carbohydrate kinase PfkB family
P35318	133	ADML		Adrenomedullin family
P30542	134	AA1R		G-protein coupled receptor 1 family
P29274	135	AA2AR		G-protein coupled receptor 1 family
P29275	136	AA2BR		G-protein coupled receptor 1 family
P0DMS8	140	AA3R		G-protein coupled receptor 1 family
P54922	141	ADPRH		ADP-ribosylglycohydrolase family
P09874	142	PARP1	BRCT;PARP alpha-helical;PARP catalytic	
Q9UKK3	143	PARP4	BRCT;PARP alpha-helical;PARP catalytic;VIT;VWFA	
P25100	146	ADA1D		G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1D sub-subfamily
P35368	147	ADA1B		G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1B sub-subfamily
P35348	148	ADA1A		G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily
P08913	150	ADA2A		G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2A sub-subfamily
P18089	151	ADA2B		G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2B sub-subfamily
P18825	152	ADA2C		G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2C sub-subfamily
P08588	153	ADRB1		G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB1 sub-subfamily
P07550	154	ADRB2		G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily
P13945	155	ADRB3		G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB3 sub-subfamily
P25098	156	ARBK1	RGS;Protein kinase;AGC-kinase C-terminal;PH	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily
P35626	157	ARBK2	RGS;Protein kinase;AGC-kinase C-terminal;PH	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily
P30566	158	PUR8		Lyase 1 family, Adenylosuccinate lyase subfamily
P30520	159	PURA2		Adenylosuccinate synthetase family
O95782	160	AP2A1		Adaptor complexes large subunit family
O94973	161	AP2A2		Adaptor complexes large subunit family
Q10567	162	AP1B1		Adaptor complexes large subunit family
P63010	163	AP2B1		Adaptor complexes large subunit family
O43747	164	AP1G1	GAE	Adaptor complexes large subunit family
Q8IUX7	165	AEBP1	F5/8 type C	Peptidase M14 family
Q08117	166	TLE5		WD repeat Groucho/TLE family
P02771	174	FETA	Albumin 1;Albumin 2;Albumin 3	ALB/AFP/VDB family
P20933	175	ASPG		Ntn-hydrolase family
P16112	176	PGCA	Ig-like V-type;Link 1;Link 2;Link 3;Link 4;EGF-like;C-type lectin;Sushi	Aggrecan/versican proteoglycan family
Q15109	177	RAGE	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2	
P35573	178	GDE		Glycogen debranching enzyme family
O00253	181	AGRP	Agouti	
P78504	182	JAG1	DSL;EGF-like 1;EGF-like ;EGF-like 3;EGF-like 4;EGF-like ;EGF-like ;EGF-like ;EGF-like ;EGF-like 9;EGF-like 10;EGF-like 1;EGF-like 1;EGF-like 13;EGF-like 14;EGF-like 1;EGF-like 1	
P01019	183	ANGT		Serpin family
P30556	185	AGTR1		G-protein coupled receptor 1 family
P50052	186	AGTR2		G-protein coupled receptor 1 family
P35414	187	APJ		G-protein coupled receptor 1 family
P21549	189	SPYA		Class-V pyridoxal-phosphate-dependent aminotransferase family
P51843	190	NR0B1	NR LBD	Nuclear hormone receptor family, NR0 subfamily
P23526	191	SAHH		Adenosylhomocysteinase family
P35869	196	AHR	bHLH;PAS 1;PAS 2;PAC	
P02765	197	FETUA	Cystatin fetuin-A-type 1;Cystatin fetuin-A-type 2	Fetuin family
P55008	199	AIF1	EF-hand 1;EF-hand	
Q9Y4K1	202	CRBG1	Beta/gamma crystallin 'Greek key' 1;Beta/gamma crystallin 'Greek key' 2;Beta/gamma crystallin 'Greek key' 3;Beta/gamma crystallin 'Greek key' 4;Beta/gamma crystallin 'Greek key' 5;Beta/gamma crystallin 'Greek key' 6;Beta/gamma crystallin 'Greek key' 7;Beta/gamma crystallin 'Greek key' 8;Beta/gamma crystallin 'Greek key' 9;Beta/gamma crystallin 'Greek key' 10;Beta/gamma crystallin 'Greek key' 11;Beta/gamma crystallin 'Greek key' 12;Ricin B-type lectin	Beta/gamma-crystallin family
P00568	203	KAD1		Adenylate kinase family, AK1 subfamily
P54819	204	KAD2		Adenylate kinase family, AK2 subfamily
P27144	205	KAD4		Adenylate kinase family, AK3 subfamily
P31749	207	AKT1	PH;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily
P31751	208	AKT2	PH;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily
P13716	210	HEM2		ALAD family
P13196	211	HEM1		Class-II pyridoxal-phosphate-dependent aminotransferase family
P22557	212	HEM0		Class-II pyridoxal-phosphate-dependent aminotransferase family
P02768	213	ALBU	Albumin 1;Albumin 2;Albumin 3	ALB/AFP/VDB family
Q13740	214	CD166	Ig-like V-type 1;Ig-like V-type 2;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3	
P33897	215	ABCD1	ABC transmembrane type-1;ABC transporter	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily
P00352	216	AL1A1		Aldehyde dehydrogenase family
P05091	217	ALDH2		Aldehyde dehydrogenase family
P30838	218	AL3A1		Aldehyde dehydrogenase family
P30837	219	AL1B1		Aldehyde dehydrogenase family
P47895	220	AL1A3		Aldehyde dehydrogenase family
P43353	221	AL3B1		Aldehyde dehydrogenase family
P49189	223	AL9A1		Aldehyde dehydrogenase family
P51648	224	AL3A2		Aldehyde dehydrogenase family
Q9UBJ2	225	ABCD2	ABC transmembrane type-1;ABC transporter	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily
P04075	226	ALDOA		Class I fructose-bisphosphate aldolase family
P05062	229	ALDOB		Class I fructose-bisphosphate aldolase family
P09972	230	ALDOC		Class I fructose-bisphosphate aldolase family
P15121	231	ALDR		Aldo/keto reductase family
Q9UM73	238	ALK	MAM 1;LDL-receptor class A;MAM 2;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily
P18054	239	LOX12	PLAT;Lipoxygenase	Lipoxygenase family
P09917	240	LOX5	PLAT;Lipoxygenase	Lipoxygenase family
P20292	241	AL5AP		MAPEG family
O75342	242	LX12B	PLAT;Lipoxygenase	Lipoxygenase family
O15296	247	LX15B	PLAT;Lipoxygenase	Lipoxygenase family
P09923	248	PPBI		Alkaline phosphatase family
P05186	249	PPBT		Alkaline phosphatase family
P05187	250	PPB1		Alkaline phosphatase family
P10696	251	PPBN		Alkaline phosphatase family
P02760	259	AMBP	BPTI/Kunitz inhibitor 1;BPTI/Kunitz inhibitor 2	Calycin superfamily, Lipocalin family
P17707	262	DCAM		Eukaryotic AdoMetDC family
Q99217	265	AMELX		Amelogenin family
Q9UKV5	267	AMFR	CUE	
P03971	268	MIS		TGF-beta family
Q16671	269	AMHR2	Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily
P23109	270	AMPD1		Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family
Q01433	271	AMPD2		Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family
Q01432	272	AMPD3		Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family
P49418	273	AMPH	BAR;SH3	
O00499	274	BIN1	BAR;SH3	
P48728	275	GCST		GcvT family
P04745	276	AMY1		Glycosyl hydrolase 13 family
P04746	279	AMYP		Glycosyl hydrolase 13 family
P19961	280	AMY2B		Glycosyl hydrolase 13 family
P03950	283	ANGI		Pancreatic ribonuclease family
Q15389	284	ANGP1	Fibrinogen C-terminal	
O15123	285	ANGP2	Fibrinogen C-terminal	
P16157	286	ANK1	ZU5 1;ZU5 2;Death	
Q01484	287	ANK2	ZU5 1;ZU5 2;Death 1;Death 2	
Q12955	288	ANK3	ZU5 1;ZU5 2;Death	
P15144	290	AMPN		Peptidase M1 family
P12235	291	ADT1		Mitochondrial carrier (TC 2.A.29) family
P05141	292	ADT2		Mitochondrial carrier (TC 2.A.29) family
P12236	293	ADT3		Mitochondrial carrier (TC 2.A.29) family
P04083	301	ANXA1		Annexin family
P07355	302	ANXA2		Annexin family
P12429	306	ANXA3		Annexin family
P09525	307	ANXA4		Annexin family
P08758	308	ANXA5		Annexin family
P08133	309	ANXA6		Annexin family
P20073	310	ANXA7		Annexin family
P50995	311	ANX11		Annexin family
P27216	312	ANX13		Annexin family
Q06278	316	AOXA	2Fe-2S ferredoxin-type;FAD-binding PCMH-type	Xanthine dehydrogenase family
O14727	317	APAF	CARD;NB-ARC	
P50583	318	AP4A	Nudix hydrolase	Nudix hydrolase family
Q13790	319	APOF		Apolipoprotein F family
Q02410	320	APBA1	PID;PDZ 1;PDZ 2	
Q99767	321	APBA2	PID;PDZ 1;PDZ 2	
O00213	322	APBB1	WW;PID 1;PID 2	
Q92870	323	APBB2	WW;PID 1;PID 2	
P25054	324	APC		Adenomatous polyposis coli (APC) family
P02743	325	SAMP	Pentraxin (PTX)	Pentraxin family
O43918	326	AIRE	HSR;SAND	
P13798	327	ACPH		Peptidase S9C family
P27695	328	APEX1		DNA repair enzymes AP/ExoA family
Q13490	329	BIRC2	CARD	IAP family
Q13489	330	BIRC3	CARD	IAP family
P98170	331	XIAP		IAP family
O15392	332	BIRC5		IAP family
P51693	333	APLP1	E1;E2	APP family
Q06481	334	APLP2	E1;BPTI/Kunitz inhibitor;E2	APP family
P02647	335	APOA1		Apolipoprotein A1/A4/E family
P02652	336	APOA2		Apolipoprotein A2 family
P04114	338	APOB	Vitellogenin	
P41238	339	ABEC1	CMP/dCMP-type deaminase	Cytidine and deoxycytidylate deaminase family
P02654	341	APOC1		Apolipoprotein C1 family
P02655	344	APOC2		Apolipoprotein C2 family
P02656	345	APOC3		Apolipoprotein C3 family
P55056	346	APOC4		Apolipoprotein C4 family
P05090	347	APOD		Calycin superfamily, Lipocalin family
P02649	348	APOE		Apolipoprotein A1/A4/E family
P02749	350	APOH	Sushi 1;Sushi 2;Sushi 3;Sushi 4	
P05067	351	A4	E1;BPTI/Kunitz inhibitor;E2	APP family
P07741	353	APT		Purine/pyrimidine phosphoribosyltransferase family
P07288	354	KLK3	Peptidase S1	Peptidase S1 family, Kallikrein subfamily
P25445	355	TNR6	Death	
P48023	356	TNFL6		Tumor necrosis factor family
Q13796	357	SHRM2	PDZ;ASD1;ASD2	Shroom family
P29972	358	AQP1		MIP/aquaporin (TC 1.A.8) family
P41181	359	AQP2		MIP/aquaporin (TC 1.A.8) family
Q92482	360	AQP3		MIP/aquaporin (TC 1.A.8) family
P55087	361	AQP4		MIP/aquaporin (TC 1.A.8) family
P55064	362	AQP5		MIP/aquaporin (TC 1.A.8) family
O14520	364	AQP7		MIP/aquaporin (TC 1.A.8) family
O43315	366	AQP9		MIP/aquaporin (TC 1.A.8) family
P10275	367	ANDR	NR LBD	Nuclear hormone receptor family, NR3 subfamily
O95255	368	MRP6	ABC transmembrane type-1 1;ABC transporter 1;ABC transmembrane type-1 2;ABC transporter 2	ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily
P10398	369	ARAF	RBD;Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily
P48444	372	COPD	MHD	Adaptor complexes medium subunit family, Delta-COP subfamily
P36406	373	TRI23		Small GTPase superfamily, Arf family
P15514	374	AREG	EGF-like	Amphiregulin family
P84077	375	ARF1		Small GTPase superfamily, Arf family
P61204	377	ARF3		Small GTPase superfamily, Arf family
P18085	378	ARF4		Small GTPase superfamily, Arf family
P49703	379	ARL4D		Small GTPase superfamily, Arf family
P84085	381	ARF5		Small GTPase superfamily, Arf family
P62330	382	ARF6		Small GTPase superfamily, Arf family
P05089	383	ARGI1		Arginase family
P78540	384	ARGI2		Arginase family
P61586	387	RHOA		Small GTPase superfamily, Rho family
P62745	388	RHOB		Small GTPase superfamily, Rho family
P08134	389	RHOC		Small GTPase superfamily, Rho family
P61587	390	RND3		Small GTPase superfamily, Rho family
P84095	391	RHOG		Small GTPase superfamily, Rho family
Q07960	392	RHG01	CRAL-TRIO;Rho-GAP	
P98171	393	RHG04	F-BAR;Rho-GAP;SH3	
Q13017	394	RHG05	FF 1;FF 2;FF 3;FF 4;pG1 pseudoGTPase;pG2 pseudoGTPase;Rho-GAP	
O43182	395	RHG06	Rho-GAP	
P52565	396	GDIR1		Rho GDI family
P52566	397	GDIR2		Rho GDI family
Q99819	398	GDIR3		Rho GDI family
Q15669	399	RHOH		Small GTPase superfamily, Rho family
P40616	400	ARL1		Small GTPase superfamily, Arf family
O14813	401	PHX2A		Paired homeobox family
P36404	402	ARL2		Small GTPase superfamily, Arf family
P36405	403	ARL3		Small GTPase superfamily, Arf family
P27540	405	ARNT	bHLH;PAS 1;PAS 2;PAC	
O00327	406	BMAL1	bHLH;PAS 1;PAS 2;PAC	
P36575	407	ARRC		Arrestin family
P49407	408	ARRB1		Arrestin family
P32121	409	ARRB2		Arrestin family
P15289	410	ARSA		Sulfatase family
P15848	411	ARSB		Sulfatase family
P08842	412	STS		Sulfatase family
P51690	415	ARSL		Sulfatase family
P54793	416	ARSF		Sulfatase family
P52961	417	NAR1		Arg-specific ADP-ribosyltransferase family
Q13508	419	NAR3		Arg-specific ADP-ribosyltransferase family
Q93070	420	NAR4		Arg-specific ADP-ribosyltransferase family
O00192	421	ARVC		Beta-catenin family
Q13510	427	ASAH1		Acid ceramidase family
P50553	429	ASCL1	bHLH	
Q99929	430	ASCL2	bHLH	
P07306	432	ASGR1	C-type lectin	
P07307	433	ASGR2	C-type lectin	
P42127	434	ASIP	Agouti	
P04424	435	ARLY		Lyase 1 family, Argininosuccinate lyase subfamily
P46597	438	ASMT		Class I-like SAM-binding methyltransferase superfamily, Cation-independent O-methyltransferase family
O43681	439	GET3		ArsA ATPase family
P08243	440	ASNS	Glutamine amidotransferase type-2;Asparagine synthetase	
P45381	443	ACY2		AspA/AstE family, Aspartoacylase subfamily
Q12797	444	ASPH		Aspartyl/asparaginyl beta-hydroxylase family
P00966	445	ASSY		Argininosuccinate synthase family, Type 1 subfamily
O14525	460	ASTN1	EGF-like 1;EGF-like 2;EGF-like 3;Fibronectin type-III	Astrotactin family
P01008	462	ANT3		Serpin family
Q15911	463	ZFHX3		
Q6ZP98	463	CP047		
P18846	466	ATF1	KID;bZIP	BZIP family, ATF subfamily
P18847	467	ATF3	bZIP	BZIP family, ATF subfamily
P18848	468	ATF4	bZIP	BZIP family
P31939	471	PUR9	MGS-like	PurH family
Q13315	472	ATM	FAT;PI3K/PI4K;FATC	PI3/PI4-kinase family, ATM subfamily
Q9P2R6	473	RERE	BAH;ELM2;SANT	
Q92858	474	ATOH1	bHLH	
O00244	475	ATOX1	HMA	ATX1 family
P05023	476	AT1A1		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIC subfamily
P50993	477	AT1A2		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIC subfamily
P13637	478	AT1A3		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIC subfamily
P54707	479	AT12A		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIC subfamily
Q13733	480	AT1A4		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIC subfamily
P05026	481	AT1B1		X(+)/potassium ATPases subunit beta family
P14415	482	AT1B2		X(+)/potassium ATPases subunit beta family
P54709	483	AT1B3		X(+)/potassium ATPases subunit beta family
P54710	486	ATNG		FXYD family
O14983	487	AT2A1		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily
P16615	488	AT2A2		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily
Q93084	489	AT2A3		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily
P20020	490	AT2B1		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIB subfamily
Q01814	491	AT2B2		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIB subfamily
Q16720	492	AT2B3		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIB subfamily
P23634	493	AT2B4		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIB subfamily
P20648	495	ATP4A		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIC subfamily
P51164	496	ATP4B		X(+)/potassium ATPases subunit beta family
P25705	498	ATPA		ATPase alpha/beta chains family
P49419	501	AL7A1		Aldehyde dehydrogenase family
P06576	506	ATPB		ATPase alpha/beta chains family
P36542	509	ATPG		ATPase gamma chain family
P30049	513	ATPD		ATPase epsilon chain family
P56381	514	ATP5E		Eukaryotic ATPase epsilon family
P24539	515	AT5F1		Eukaryotic ATPase B chain family
P05496	516	AT5G1		ATPase C chain family
Q06055	517	AT5G2		ATPase C chain family
P48201	518	AT5G3		ATPase C chain family
P56385	521	ATP5I		ATPase e subunit family
P18859	522	ATP5J		Eukaryotic ATPase subunit F6 family
P38606	523	VATA		ATPase alpha/beta chains family
P15313	525	VATB1		ATPase alpha/beta chains family
P21281	526	VATB2		ATPase alpha/beta chains family
P27449	527	VATL		V-ATPase proteolipid subunit family
P21283	528	VATC1		V-ATPase C subunit family
P36543	529	VATE1		V-ATPase E subunit family
Q99437	533	VATO		V-ATPase proteolipid subunit family
O95670	534	VATG2		V-ATPase G subunit family
Q93050	535	VPP1		V-ATPase 116 kDa subunit family
Q15904	537	VAS1		Vacuolar ATPase subunit S1 family
Q04656	538	ATP7A	HMA 1;HMA 2;HMA 3;HMA 4;HMA 5;HMA 6	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IB subfamily
P48047	539	ATPO		ATPase delta chain family
P35670	540	ATP7B	HMA 1;HMA 2;HMA 3;HMA 4;HMA 5;HMA 6	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IB subfamily
Q13535	545	ATR	FAT;PI3K/PI4K;FATC	PI3/PI4-kinase family, ATM subfamily
P46100	546	ATRX	ADD;Helicase ATP-binding;Helicase C-terminal	SNF2/RAD54 helicase family
Q12756	547	KIF1A	Kinesin motor;FHA;PH	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Unc-104 subfamily
Q13825	549	AUHM		Enoyl-CoA hydratase/isomerase family
Q9Y679	550	AUP1	CUE	AUP1 family
P01185	551	NEU2		Vasopressin/oxytocin family
P37288	552	V1AR		G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily
P47901	553	V1BR		G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily
P30518	554	V2R		G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily
P30530	558	UFO	Ig-like C2-type 1;Ig-like C2-type 2;Fibronectin type-III 1;Fibronectin type-III 2;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily
P25311	563	ZA2G	Ig-like C1-type	MHC class I family
P20160	566	CAP7	Peptidase S1	Peptidase S1 family, Elastase subfamily
P61769	567	B2MG	Ig-like C1-type	Beta-2-microglobulin family
Q14032	570	BAAT		C/M/P thioester hydrolase family
O14867	571	BACH1	BTB;bZIP	BZIP family, CNC subfamily
Q92934	572	BAD		Bcl-2 family
Q99933	573	BAG1	Ubiquitin-like;BAG	
O14514	575	AGRB1	TSP type-1 1;TSP type-1 2;TSP type-1 3;TSP type-1 4;TSP type-1 5;GPS	G-protein coupled receptor 2 family, LN-TM7 subfamily
O60241	576	AGRB2	TSP type-1 1;TSP type-1 2;TSP type-1 3;TSP type-1 4;GPS	G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily
O60242	577	AGRB3	CUB;TSP type-1 1;TSP type-1 2;TSP type-1 3;TSP type-1 4;GPS	G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily
Q16611	578	BAK		Bcl-2 family
P78367	579	NKX32		NK-3 homeobox family
Q99728	580	BARD1	BRCT 1;BRCT 2	
Q07812	581	BAX		Bcl-2 family
Q8NFJ9	582	BBS1		
Q9BXC9	583	BBS2		
Q96RK4	585	BBS4		BBS4 family
P54687	586	BCAT1		Class-IV pyridoxal-phosphate-dependent aminotransferase family
O15382	587	BCAT2		Class-IV pyridoxal-phosphate-dependent aminotransferase family
P06276	590	CHLE		Type-B carboxylesterase/lipase family
P12694	593	ODBA		BCKDHA family
P21953	594	ODBB		
P24385	595	CCND1	Cyclin N-terminal	Cyclin family, Cyclin D subfamily
P10415	596	BCL2		Bcl-2 family
Q16548	597	B2LA1		Bcl-2 family
Q07817	598	B2CL1		Bcl-2 family
Q92843	599	B2CL2		Bcl-2 family
P20749	602	BCL3		
P41182	604	BCL6	BTB	
Q4VC05	605	BCL7A		BCL7 family
O00512	607	BCL9		BCL9 family
Q02223	608	TNR17		
Q9UL51	610	HCN2		Potassium channel HCN family
