Entry	Entrez ID	Entry name	Reactome
Q15109	177	RAGE_HUMAN	R-HSA-445989;R-HSA-879415;R-HSA-933542;
P35573	178	GDE_HUMAN	R-HSA-6798695;R-HSA-70221;
O00253	181	AGRP_HUMAN	R-HSA-9615017;
P78504	182	JAG1_HUMAN	R-HSA-2122948;R-HSA-2644606;R-HSA-2660826;R-HSA-2691232;R-HSA-2894862;R-HSA-2979096;R-HSA-8941856;R-HSA-9013507;R-HSA-9013700;
P01019	183	ANGT_HUMAN	R-HSA-1989781;R-HSA-2022377;R-HSA-375276;R-HSA-416476;R-HSA-418594;
P30556	185	AGTR1_HUMAN	R-HSA-375276;R-HSA-416476;R-HSA-8856825;R-HSA-8856828;
P50052	186	AGTR2_HUMAN	R-HSA-375276;R-HSA-418594;
P35414	187	APJ_HUMAN	R-HSA-375276;R-HSA-418594;
P21549	189	SPYA_HUMAN	R-HSA-389661;R-HSA-9033241;
P51843	190	NR0B1_HUMAN	R-HSA-383280;
P23526	191	SAHH_HUMAN	R-HSA-156581;R-HSA-1614635;R-HSA-2408508;R-HSA-5578997;
P35869	196	AHR_HUMAN	R-HSA-1989781;R-HSA-211945;R-HSA-211976;R-HSA-211981;R-HSA-8937144;
P02765	197	FETUA_HUMAN	R-HSA-114608;R-HSA-381426;R-HSA-6798695;R-HSA-8957275;
P55008	199	AIF1_HUMAN	
Q9Y4K1	202	CRBG1_HUMAN	
P00568	203	KAD1_HUMAN	R-HSA-499943;
P54819	204	KAD2_HUMAN	R-HSA-499943;
P27144	205	KAD4_HUMAN	R-HSA-499943;
P31749	207	AKT1_HUMAN	R-HSA-111447;R-HSA-1257604;R-HSA-1358803;R-HSA-1445148;R-HSA-1474151;R-HSA-165159;R-HSA-198323;R-HSA-198693;R-HSA-199418;R-HSA-203615;R-HSA-211163;R-HSA-354192;R-HSA-3769402;R-HSA-389357;R-HSA-389513;R-HSA-392451;R-HSA-450385;R-HSA-450604;R-HSA-5218920;R-HSA-5628897;R-HSA-5674400;R-HSA-6785807;R-HSA-6804757;R-HSA-6804758;R-HSA-6804759;R-HSA-6811558;R-HSA-69202;R-HSA-69656;R-HSA-8849469;R-HSA-8876198;R-HSA-8941332;R-HSA-8948751;R-HSA-9009391;R-HSA-9604323;R-HSA-9614399;R-HSA-9634638;
P31751	208	AKT2_HUMAN	R-HSA-111447;R-HSA-1257604;R-HSA-1358803;R-HSA-1445148;R-HSA-165158;R-HSA-165160;R-HSA-165181;R-HSA-198323;R-HSA-198693;R-HSA-199418;R-HSA-211163;R-HSA-3769402;R-HSA-389357;R-HSA-389513;R-HSA-392451;R-HSA-5218920;R-HSA-5628897;R-HSA-5674400;R-HSA-6804757;R-HSA-6804758;R-HSA-6804759;R-HSA-69202;R-HSA-69656;R-HSA-8876198;R-HSA-8941332;R-HSA-8948751;R-HSA-9614399;R-HSA-9634638;
P13716	210	HEM2_HUMAN	R-HSA-189451;R-HSA-6798695;
P13196	211	HEM1_HUMAN	R-HSA-189451;R-HSA-1989781;R-HSA-2151201;
P22557	212	HEM0_HUMAN	R-HSA-189451;
P02768	213	ALBU_HUMAN	R-HSA-114608;R-HSA-159418;R-HSA-189451;R-HSA-189483;R-HSA-2168880;R-HSA-381426;R-HSA-879518;R-HSA-8957275;R-HSA-8964058;
Q13740	214	CD166_HUMAN	R-HSA-373760;
P33897	215	ABCD1_HUMAN	R-HSA-1369062;R-HSA-2046105;R-HSA-2046106;R-HSA-390247;R-HSA-5684045;R-HSA-9603798;
P00352	216	AL1A1_HUMAN	R-HSA-5365859;R-HSA-70350;R-HSA-71384;
P05091	217	ALDH2_HUMAN	R-HSA-380612;R-HSA-71384;
P30838	218	AL3A1_HUMAN	R-HSA-211945;
P30837	219	AL1B1_HUMAN	R-HSA-71384;
P47895	220	AL1A3_HUMAN	R-HSA-5365859;
P43353	221	AL3B1_HUMAN	R-HSA-1660661;R-HSA-6798695;
P49189	223	AL9A1_HUMAN	R-HSA-71262;
P51648	224	AL3A2_HUMAN	R-HSA-1660661;R-HSA-389599;R-HSA-9603798;R-HSA-9609523;
Q9UBJ2	225	ABCD2_HUMAN	R-HSA-1369062;R-HSA-9603798;
P04075	226	ALDOA_HUMAN	R-HSA-114608;R-HSA-6798695;R-HSA-70171;R-HSA-70263;
P05062	229	ALDOB_HUMAN	R-HSA-5657560;R-HSA-70171;R-HSA-70263;R-HSA-70350;
P09972	230	ALDOC_HUMAN	R-HSA-6798695;R-HSA-70171;R-HSA-70263;
P15121	231	ALDR_HUMAN	R-HSA-196108;R-HSA-5652227;
Q9UM73	238	ALK_HUMAN	
P18054	239	LOX12_HUMAN	R-HSA-2142696;R-HSA-2142700;R-HSA-2142712;R-HSA-9018677;R-HSA-9025106;R-HSA-9026290;
P09917	240	LOX5_HUMAN	R-HSA-2142688;R-HSA-2142691;R-HSA-2142700;R-HSA-6785807;R-HSA-6798695;R-HSA-9012546;R-HSA-9018676;R-HSA-9018682;R-HSA-9018896;R-HSA-9020265;R-HSA-9023661;R-HSA-9026286;R-HSA-9026290;R-HSA-9026403;R-HSA-9027604;
P20292	241	AL5AP_HUMAN	R-HSA-2142688;R-HSA-2142691;R-HSA-2142700;
O75342	242	LX12B_HUMAN	R-HSA-2142712;
O15296	247	LX15B_HUMAN	R-HSA-2142770;
P09923	248	PPBI_HUMAN	R-HSA-1483166;R-HSA-163125;R-HSA-8935690;
P05186	249	PPBT_HUMAN	R-HSA-163125;
P05187	250	PPB1_HUMAN	R-HSA-6811438;
P10696	251	PPBN_HUMAN	R-HSA-163125;
P02760	259	AMBP_HUMAN	R-HSA-2168880;
P17707	262	DCAM_HUMAN	R-HSA-351202;
Q99217	265	AMELX_HUMAN	R-HSA-381426;R-HSA-8957275;
Q9UKV5	267	AMFR_HUMAN	R-HSA-532668;R-HSA-901032;
P03971	268	MIS_HUMAN	R-HSA-201451;
Q16671	269	AMHR2_HUMAN	R-HSA-201451;
P23109	270	AMPD1_HUMAN	R-HSA-74217;
Q01433	271	AMPD2_HUMAN	R-HSA-74217;
Q01432	272	AMPD3_HUMAN	R-HSA-6798695;R-HSA-74217;
P49418	273	AMPH_HUMAN	R-HSA-8856828;
O00499	274	BIN1_HUMAN	R-HSA-8856828;
P48728	275	GCST_HUMAN	R-HSA-6783984;
P04745	276	AMY1_HUMAN	R-HSA-189085;
P04746	279	AMYP_HUMAN	R-HSA-189085;
P19961	280	AMY2B_HUMAN	R-HSA-189085;
P03950	283	ANGI_HUMAN	R-HSA-418990;
Q15389	284	ANGP1_HUMAN	R-HSA-210993;R-HSA-5673001;
O15123	285	ANGP2_HUMAN	R-HSA-210993;
P16157	286	ANK1_HUMAN	R-HSA-445095;R-HSA-447038;R-HSA-447041;R-HSA-447043;R-HSA-6807878;
Q01484	287	ANK2_HUMAN	R-HSA-445095;R-HSA-6807878;
Q12955	288	ANK3_HUMAN	R-HSA-445095;R-HSA-6807878;
P15144	290	AMPN_HUMAN	R-HSA-2022377;R-HSA-6798695;
P12235	291	ADT1_HUMAN	R-HSA-1268020;R-HSA-180897;R-HSA-83936;
P05141	292	ADT2_HUMAN	R-HSA-180897;R-HSA-83936;
P12236	293	ADT3_HUMAN	R-HSA-1268020;R-HSA-168277;R-HSA-180897;R-HSA-83936;
P04083	301	ANXA1_HUMAN	R-HSA-416476;R-HSA-418594;R-HSA-444473;R-HSA-445355;R-HSA-6785807;
P07355	302	ANXA2_HUMAN	R-HSA-445355;R-HSA-6798695;R-HSA-75205;R-HSA-8950505;
P12429	306	ANXA3_HUMAN	
P09525	307	ANXA4_HUMAN	
P08758	308	ANXA5_HUMAN	R-HSA-114608;
P08133	309	ANXA6_HUMAN	R-HSA-445355;
P20073	310	ANXA7_HUMAN	
P50995	311	ANX11_HUMAN	
P27216	312	ANX13_HUMAN	
Q06278	316	AOXA_HUMAN	R-HSA-964975;
O14727	317	APAF_HUMAN	R-HSA-111458;R-HSA-111459;R-HSA-111463;R-HSA-111464;R-HSA-6798695;R-HSA-6803207;R-HSA-8953750;R-HSA-9627069;
P50583	318	AP4A_HUMAN	R-HSA-3299685;
Q13790	319	APOF_HUMAN	R-HSA-8964041;
Q02410	320	APBA1_HUMAN	R-HSA-212676;R-HSA-6794361;R-HSA-9609736;
Q99767	321	APBA2_HUMAN	R-HSA-6794361;
O00213	322	APBB1_HUMAN	R-HSA-5693565;
Q92870	323	APBB2_HUMAN	
P25054	324	APC_HUMAN	R-HSA-111465;R-HSA-195253;R-HSA-196299;R-HSA-3769402;R-HSA-4641262;R-HSA-5339716;R-HSA-5358747;R-HSA-5358749;R-HSA-5358751;R-HSA-5358752;R-HSA-5467333;R-HSA-5467337;R-HSA-5467340;R-HSA-5467348;R-HSA-5689896;
P02743	325	SAMP_HUMAN	R-HSA-977225;
O43918	326	AIRE_HUMAN	
P13798	327	ACPH_HUMAN	R-HSA-6798695;R-HSA-72764;
P27695	328	APEX1_HUMAN	R-HSA-110357;R-HSA-110362;R-HSA-110373;R-HSA-5651801;R-HSA-73930;R-HSA-73933;
Q13490	329	BIRC2_HUMAN	R-HSA-111465;R-HSA-168638;R-HSA-168927;R-HSA-5213460;R-HSA-5357905;R-HSA-5357956;R-HSA-5668541;R-HSA-5675482;R-HSA-5676594;R-HSA-5689880;R-HSA-937041;
Q13489	330	BIRC3_HUMAN	R-HSA-168638;R-HSA-168927;R-HSA-5213460;R-HSA-5357905;R-HSA-5357956;R-HSA-5668541;R-HSA-5675482;R-HSA-5676594;R-HSA-5689880;R-HSA-937041;
P98170	331	XIAP_HUMAN	R-HSA-111459;R-HSA-111463;R-HSA-111464;R-HSA-111469;R-HSA-3769402;R-HSA-5213460;R-HSA-5357905;R-HSA-5357956;R-HSA-5675482;R-HSA-8948747;R-HSA-8948751;R-HSA-9627069;
O15392	332	BIRC5_HUMAN	R-HSA-141444;R-HSA-2467813;R-HSA-2500257;R-HSA-4615885;R-HSA-5663220;R-HSA-6785807;R-HSA-6803205;R-HSA-68877;R-HSA-8951664;R-HSA-9648025;
P51693	333	APLP1_HUMAN	
Q06481	334	APLP2_HUMAN	R-HSA-114608;R-HSA-381426;R-HSA-8957275;
P02647	335	APOA1_HUMAN	R-HSA-114608;R-HSA-1369062;R-HSA-1989781;R-HSA-2168880;R-HSA-3000471;R-HSA-3000480;R-HSA-381426;R-HSA-5682113;R-HSA-8957275;R-HSA-8963888;R-HSA-8963896;R-HSA-8963901;R-HSA-8964011;R-HSA-8964058;R-HSA-975634;R-HSA-977225;
P02652	336	APOA2_HUMAN	R-HSA-1989781;R-HSA-381426;R-HSA-8957275;R-HSA-8963888;R-HSA-8963901;R-HSA-975634;
P04114	338	APOB_HUMAN	R-HSA-202733;R-HSA-3000471;R-HSA-3000480;R-HSA-3000484;R-HSA-3000497;R-HSA-381426;R-HSA-432142;R-HSA-5686938;R-HSA-8856825;R-HSA-8856828;R-HSA-8866423;R-HSA-8957275;R-HSA-8963888;R-HSA-8963901;R-HSA-8964026;R-HSA-8964038;R-HSA-8964041;R-HSA-8964046;R-HSA-975634;
P41238	339	ABEC1_HUMAN	R-HSA-72200;R-HSA-75094;
P02654	341	APOC1_HUMAN	R-HSA-8866423;R-HSA-8964046;R-HSA-9029569;
P02655	344	APOC2_HUMAN	R-HSA-8963888;R-HSA-8963889;R-HSA-8963901;R-HSA-8964058;R-HSA-9029569;R-HSA-975634;
P02656	345	APOC3_HUMAN	R-HSA-8963888;R-HSA-8963901;R-HSA-8964058;R-HSA-975634;
P55056	346	APOC4_HUMAN	R-HSA-8866423;R-HSA-8964046;R-HSA-9029569;
P05090	347	APOD_HUMAN	R-HSA-804914;R-HSA-9029569;
P02649	348	APOE_HUMAN	R-HSA-1251985;R-HSA-3000480;R-HSA-381426;R-HSA-8864260;R-HSA-8957275;R-HSA-8963888;R-HSA-8963901;R-HSA-8964026;R-HSA-8964058;R-HSA-9029569;R-HSA-975634;
P02749	350	APOH_HUMAN	R-HSA-114608;
P05067	351	A4_HUMAN	R-HSA-114608;R-HSA-3000178;R-HSA-381426;R-HSA-416476;R-HSA-418594;R-HSA-432720;R-HSA-444473;R-HSA-445989;R-HSA-844456;R-HSA-879415;R-HSA-8862803;R-HSA-8957275;R-HSA-933542;R-HSA-9609523;R-HSA-977225;
P07741	353	APT_HUMAN	R-HSA-6798695;R-HSA-74217;
P07288	354	KLK3_HUMAN	R-HSA-381426;R-HSA-5625886;
P25445	355	TNR6_HUMAN	R-HSA-140534;R-HSA-3371378;R-HSA-5213460;R-HSA-5218900;R-HSA-6803211;R-HSA-69416;R-HSA-75157;
P48023	356	TNFL6_HUMAN	R-HSA-140534;R-HSA-3371378;R-HSA-5213460;R-HSA-5218900;R-HSA-6785807;R-HSA-69416;R-HSA-75157;R-HSA-8862803;R-HSA-9614657;
Q13796	357	SHRM2_HUMAN	
P29972	358	AQP1_HUMAN	R-HSA-1237044;R-HSA-1247673;R-HSA-432040;R-HSA-432047;
P41181	359	AQP2_HUMAN	R-HSA-432040;R-HSA-432047;
Q92482	360	AQP3_HUMAN	R-HSA-432040;R-HSA-432047;
P55087	361	AQP4_HUMAN	R-HSA-432040;R-HSA-432047;
P55064	362	AQP5_HUMAN	R-HSA-432047;
O14520	364	AQP7_HUMAN	R-HSA-432030;R-HSA-432047;
O43315	366	AQP9_HUMAN	R-HSA-432030;R-HSA-432047;
P10275	367	ANDR_HUMAN	R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-5625886;R-HSA-5689880;R-HSA-8940973;
O95255	368	MRP6_HUMAN	R-HSA-382556;R-HSA-5690338;
P10398	369	ARAF_HUMAN	R-HSA-5673000;R-HSA-5674135;R-HSA-5675221;R-HSA-6802946;R-HSA-6802948;R-HSA-6802952;R-HSA-6802955;R-HSA-9649948;
P48444	372	COPD_HUMAN	R-HSA-6807878;R-HSA-6811434;
P36406	373	TRI23_HUMAN	
P15514	374	AREG_HUMAN	R-HSA-1257604;R-HSA-177929;R-HSA-179812;R-HSA-180292;R-HSA-180336;R-HSA-182971;R-HSA-204005;R-HSA-212718;R-HSA-2219530;R-HSA-5638303;R-HSA-5673001;R-HSA-5694530;R-HSA-6811558;R-HSA-8856825;R-HSA-8856828;R-HSA-9009391;R-HSA-9634638;
P84077	375	ARF1_HUMAN	R-HSA-1660499;R-HSA-1660514;R-HSA-167590;R-HSA-199992;R-HSA-2132295;R-HSA-432720;R-HSA-432722;R-HSA-6807878;R-HSA-6811434;R-HSA-6811438;R-HSA-8950505;
P61204	377	ARF3_HUMAN	R-HSA-1660514;R-HSA-6807878;R-HSA-6811434;
P18085	378	ARF4_HUMAN	R-HSA-5620916;R-HSA-6807878;R-HSA-6811434;
P49703	379	ARL4D_HUMAN	
P84085	381	ARF5_HUMAN	R-HSA-6807878;R-HSA-6811434;
P62330	382	ARF6_HUMAN	R-HSA-8854214;R-HSA-8856828;R-HSA-8875656;
P05089	383	ARGI1_HUMAN	R-HSA-6798695;R-HSA-70635;
P78540	384	ARGI2_HUMAN	R-HSA-70635;
